Case_ID,Activity,Resource,Start_Timestamp,Complete_Timestamp,Variant,Variant_index,(case)_ApplicationType,(case)_creditGoal,(case)_RequestedAmount,Accepted,Action,CreditScore,EventID,EventOrigin,FirstWithdrawalAmount,MonthlyCost,NumberOfTerms,OfferID,OfferedAmount,Selected,lifecycle:transition,starttimestamp,endtimestamp
Application_652823628,A_Create Application,User_1,2016/01/01 10:51:15.304,2016/01/01 10:51:15.304,Variant 2,2,New credit,Existing credit takeover,2e4,NA,Created,NA,Application_652823628,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-01T09:51:15Z,2016-01-01T09:51:15Z
Application_652823628,A_Submitted,User_1,2016/01/01 10:51:15.352,2016/01/01 10:51:15.352,Variant 2,2,New credit,Existing credit takeover,2e4,NA,statechange,NA,ApplState_1582051990,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-01T09:51:15Z,2016-01-01T09:51:15Z
Application_652823628,A_Concept,User_1,2016/01/01 10:52:36.413,2016/01/01 10:52:36.413,Variant 2,2,New credit,Existing credit takeover,2e4,NA,statechange,NA,ApplState_642383566,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-01T09:52:36Z,2016-01-01T09:52:36Z
Application_652823628,W_Complete application,User_17,2016/01/02 11:45:22.429,2016/01/02 11:45:22.429,Variant 2,2,New credit,Existing credit takeover,2e4,NA,Obtained,NA,Workitem_1875340971,Workflow,NA,NA,NA,NA,NA,NA,start,2016-01-02T10:45:22Z,2016-01-02T10:45:22Z
Application_652823628,A_Accepted,User_52,2016/01/02 12:23:04.299,2016/01/02 12:23:04.299,Variant 2,2,New credit,Existing credit takeover,2e4,NA,statechange,NA,ApplState_99568828,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-02T11:23:04Z,2016-01-02T11:23:04Z
Application_652823628,O_Create Offer,User_52,2016/01/02 12:29:03.994,2016/01/02 12:29:03.994,Variant 2,2,New credit,Existing credit takeover,2e4,true,Created,979,Offer_148581083,Offer,2e4,498.29,44,NA,2e4,true,complete,2016-01-02T11:29:03Z,2016-01-02T11:29:03Z
Application_652823628,O_Created,User_52,2016/01/02 12:29:05.354,2016/01/02 12:29:05.354,Variant 2,2,New credit,Existing credit takeover,2e4,NA,statechange,NA,OfferState_1514834199,Offer,NA,NA,NA,Offer_148581083,NA,NA,complete,2016-01-02T11:29:05Z,2016-01-02T11:29:05Z
Application_652823628,O_Sent (mail and online),User_52,2016/01/02 12:30:28.606,2016/01/02 12:30:28.606,Variant 2,2,New credit,Existing credit takeover,2e4,NA,statechange,NA,OfferState_2051164740,Offer,NA,NA,NA,Offer_148581083,NA,NA,complete,2016-01-02T11:30:28Z,2016-01-02T11:30:28Z
Application_652823628,W_Call after offers,User_52,2016/01/02 12:30:28.631,2016/01/02 12:30:28.631,Variant 2,2,New credit,Existing credit takeover,2e4,NA,Obtained,NA,Workitem_719909876,Workflow,NA,NA,NA,NA,NA,NA,start,2016-01-02T11:30:28Z,2016-01-02T11:30:28Z
Application_652823628,A_Complete,User_52,2016/01/02 12:30:28.633,2016/01/02 12:30:28.633,Variant 2,2,New credit,Existing credit takeover,2e4,NA,statechange,NA,ApplState_946455804,Application,NA,NA,NA,NA,NA,NA,complete,2016-01-02T11:30:28Z,2016-01-02T11:30:28Z
